Sample of Nvidia Stock Data,,,,,,,,,,,,
Date,Open,High,Low,Adj Close,Volume,Close,,Model_A_Predicted,Model_B_Predicted,,Difference _A,Difference_B
27-11-2023,478,485.299988,476.519989,482.35495,39566200,482.420013,,478.109317,483.1209234,,-4.310695983,0.700910431
28-11-2023,482.359985,483.230011,474.730011,478.145508,40149100,478.209991,,473.9831912,476.7471156,,-4.226799842,-1.462875372
29-11-2023,483.790009,487.619995,478.600006,481.335083,38200500,481.399994,,479.2609025,482.840082,,-2.139091535,1.440088005
30-11-2023,480.23999,481.100006,464.220001,467.636963,52624700,467.700012,,471.8863675,467.7182292,,4.186355519,0.018217187
01-12-2023,465.25,472,461.869995,467.586945,36880900,467.649994,,464.8579466,468.4421293,,-2.792047443,0.792135272
04-12-2023,460.769989,460.769989,450.100006,455.038635,43754300,455.100006,,451.624382,451.9133019,,-3.475623986,-3.186704073
05-12-2023,454.660004,466,452.709991,465.638153,37171800,465.660004,,460.4536362,463.1679545,,-5.206367827,-2.49204948
06-12-2023,472.149994,473.869995,454.119995,455.008667,38059000,455.029999,,465.0597772,459.142209,,10.02977823,4.112209985
07-12-2023,457,466.290009,456.040009,465.938141,35082300,465.959991,,460.0718575,464.4671579,,-5.888133525,-1.492833086
08-12-2023,465.950012,477.410004,465.5,475.03772,35880300,475.059998,,471.7074849,475.7658472,,-3.352513126,0.705849192
11-12-2023,474.910004,475.309998,458.299988,466.248108,50972800,466.269989,,466.0457702,461.5454054,,-0.224218793,-4.724583584
12-12-2023,460.459991,476.660004,460.459991,476.547638,37238700,476.570007,,472.5121647,474.9232617,,-4.057842277,-1.646745334
13-12-2023,476.290009,485.940002,476.079987,480.857452,44779200,480.880005,,479.5027999,484.445023,,-1.377205097,3.565017998
14-12-2023,483.899994,486.700012,474.220001,483.477325,39123200,483.5,,478.021626,478.4413574,,-5.478374039,-5.058642576
15-12-2023,481.940002,494.040009,481.200012,488.877075,47947800,488.899994,,488.2611909,491.8298299,,-0.638803127,2.929835935
18-12-2023,494,504.329987,491.5,500.74649,41258700,500.769989,,497.7993829,501.0132077,,-2.97060612,0.243218739
19-12-2023,494.23999,497,488.950012,496.016754,46444400,496.040009,,488.1324008,492.0474745,,-7.907608213,-3.992534489
20-12-2023,496.549988,499.98999,480.980011,481.087402,39789400,481.109985,,491.2924319,486.983077,,10.18244686,5.873091983
21-12-2023,488.109985,490.950012,484.190002,489.877014,30042500,489.899994,,482.2119366,487.4319138,,-7.688057432,-2.468080187
22-12-2023,491.950012,493.829987,484.670013,488.277069,25213900,488.299988,,484.7303557,487.8381932,,-3.569632329,-0.461794774
26-12-2023,489.679993,496,489.600006,492.766907,24420000,492.790009,,488.3075152,495.323607,,-4.482493809,2.533597981
27-12-2023,495.109985,496.799988,490.850006,494.14682,23364800,494.170013,,487.5877549,493.249352,,-6.582258095,-0.920661001
28-12-2023,496.429993,498.839996,494.119995,495.196777,24658700,495.220001,,489.827069,496.7376102,,-5.392931991,1.517609167
29-12-2023,498.130005,499.970001,487.51001,495.196777,38869000,495.220001,,490.7523295,491.0403129,,-4.467671468,-4.179688098
,,,,,,,,,,,,
,,,,,,,,,,Sample Mean,-2.576266477,-0.318975424
,,,,,,,,,,Sample SD,4.666845084,2.909109732
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,Paired t-test,-2.010876153,
,,,,,,,,,,,0.028101637,
